tt0	status	gates	wall_s	chain
0000	sat	2	0.02	F =  B ; B = !a  &   A ; A =  a  &   b
0002	sat	3	0.03	F =  C ; C =  a  &   B ; B = !c  &   A ; A = !b  &  !d
0006	sat	5	0.07	F =  E ; E =  B  &   D ; D = !d  &  !C ; C = !a  &  !b ; B = !c  &  !A ; A =  a  &   b
000a	sat	2	0.02	F =  B ; B =  a  &   A ; A = !c  &  !d
000e	sat	3	0.03	F =  C ; C = !A  &   B ; B = !c  &  !d ; A = !a  &  !b
0016	sat	7	0.59	F =  G ; G = !D  &   F ; F =  C  &  !E ; E =  c  &  !A ; D = !c  &   A ; C = !d  &  !B ; B =  a  &   b ; A = !a  &  !b
0018	sat	6	0.12	F =  F ; F =  B  &  !E ; E = !C  &  !D ; D =  a  &   b ; C = !a  &   c ; B = !d  &  !A ; A =  b  &   c
001a	sat	5	0.07	F =  E ; E = !C  &   D ; D = !d  &  !B ; C = !a  &  !A ; B =  a  &   c ; A = !b  &   c
001e	sat	5	0.08	F =  E ; E =  C  &  !D ; D = !c  &   A ; C = !d  &  !B ; B =  c  &  !A ; A = !a  &  !b
002e	sat	4	0.04	F =  D ; D = !B  &   C ; C = !d  &  !A ; B = !a  &  !b ; A =  b  &   c
003c	sat	4	0.04	F =  D ; D = !A  &   C ; C = !d  &  !B ; B =  b  &   c ; A = !b  &  !c
003e	sat	5	0.07	F =  E ; E = !C  &   D ; D = !d  &  !A ; C = !a  &   B ; B = !b  &  !c ; A =  b  &   c
007e	sat	6	0.12	F =  F ; F = !d  &  !E ; E =  C  &  !D ; D =  a  &  !c ; C = !A  &  !B ; B = !a  &   b ; A = !b  &   c
008e	sat	5	0.07	F =  E ; E = !d  &   D ; D = !A  &  !C ; C =  c  &  !B ; B =  a  &   b ; A = !a  &  !b
0096	sat	7	0.77	F =  G ; G = !d  &   F ; F = !D  &  !E ; E =  c  &   C ; D = !c  &  !C ; C = !A  &  !B ; B =  a  &   b ; A = !a  &  !b
009e	sat	7	0.74	F =  G ; G =  E  &  !F ; F = !c  &   A ; E = !d  &  !D ; D =  B  &  !C ; C =  a  &   b ; B =  c  &  !A ; A = !a  &  !b
00aa	sat	1	0.02	F =  A ; A =  a  &  !d
00ae	sat	3	0.02	F =  C ; C = !d  &  !B ; B = !a  &  !A ; A =  b  &  !c
00be	sat	5	0.07	F =  E ; E = !d  &  !D ; D = !B  &   C ; C = !a  &  !A ; B = !b  &   c ; A =  b  &  !c
00ee	sat	2	0.02	F =  B ; B = !d  &  !A ; A = !a  &  !b
00fe	sat	3	0.03	F =  C ; C = !d  &  !B ; B = !b  &   A ; A = !a  &  !c
0116	sat	9	52.96	F = !I ; I = !D  &  !H ; H = !B  &   G ; G = !E  &   F ; F = !b  &  !C ; E =  d  &  !A ; D =  b  &   C ; C = !d  &   A ; B =  a  &   c ; A = !a  &  !c
0118	sat	8	3.63	F =  H ; H = !D  &   G ; G = !E  &   F ; F = !B  &  !C ; E =  c  &   d ; D = !b  &   A ; C =  a  &  !A ; B = !a  &   b ; A = !c  &  !d
011a	sat	7	0.85	F =  G ; G = !D  &   F ; F = !C  &  !E ; E =  c  &   d ; D =  a  &  !A ; C = !a  &  !B ; B = !b  &  !A ; A = !c  &  !d
011e	sat	7	0.44	F =  G ; G = !E  &  !F ; F =  c  &  !A ; E = !C  &  !D ; D = !d  &  !B ; C =  d  &   B ; B = !c  &   A ; A = !a  &  !b
012a	sat	7	0.48	F =  G ; G = !D  &   F ; F = !A  &  !E ; E = !a  &  !C ; D =  d  &  !B ; C = !b  &   d ; B = !a  &  !c ; A =  b  &   c
012c	sat	8	3.15	F = !H ; H = !B  &  !G ; G = !b  &   F ; F = !A  &   E ; E = !C  &  !D ; D =  a  &   d ; C = !a  &   c ; B =  b  &   A ; A = !c  &  !d
012e	sat	7	0.54	F = !G ; G = !D  &  !F ; F =  C  &   E ; E = !c  &   d ; D = !d  &  !C ; C = !A  &  !B ; B =  a  &  !b ; A =  b  &  !c
