tt0	tt1	status	gates	wall_s	chain
02	68	sat	7	0.27	F0 =  F ; F1 =  G ; G = !E  &  !F ; F = !b  &   C ; E = !B  &  !D ; D =  a  &  !A ; C =  a  &  !c ; B = !a  &   A ; A =  b  &   c
02	6a	sat	6	0.11	F0 =  F ; F1 = !E ; F =  A  &   C ; E = !C  &  !D ; D = !a  &   B ; C =  a  &  !B ; B =  b  &   c ; A = !b  &  !c
02	8c	sat	4	0.05	F0 =  B ; F1 =  D ; D =  b  &  !C ; C = !a  &   c ; B = !c  &   A ; A =  a  &  !b
02	8e	sat	5	0.07	F0 =  B ; F1 = !E ; E = !B  &  !D ; D =  b  &  !C ; C = !a  &   c ; B = !b  &   A ; A =  a  &  !c
02	94	sat	7	0.27	F0 =  D ; F1 = !G ; G = !C  &  !F ; F = !B  &   E ; E =  b  &  !A ; D = !b  &   A ; C = !b  &   B ; B = !a  &   c ; A =  a  &  !c
02	96	sat	7	0.35	F0 =  E ; F1 = !G ; G = !D  &  !F ; F =  b  &   C ; E =  B  &   D ; D = !b  &  !C ; C = !A  &  !B ; B =  a  &  !c ; A = !a  &   c
02	a8	sat	3	0.02	F0 =  B ; F1 =  C ; C =  a  &  !B ; B = !c  &   A ; A =  a  &  !b
02	aa	sat	2	0.02	F0 =  B ; F1 =  a ; B = !b  &   A ; A =  a  &  !c
02	d4	sat	5	0.05	F0 =  D ; F1 =  E ; E = !B  &  !C ; D = !b  &   B ; C = !b  &  !A ; B =  a  &  !c ; A = !a  &   c
02	d6	sat	6	0.16	F0 =  B ; F1 = !F ; F = !D  &   E ; E = !B  &  !C ; D = !a  &  !A ; C =  b  &   c ; B =  a  &   A ; A = !b  &  !c
06	06	sat	4	0.03	F0 =  D ; F1 =  D ; D =  B  &  !C ; C = !a  &  !b ; B = !c  &  !A ; A =  a  &   b
06	0a	sat	5	0.06	F0 =  E ; F1 =  A ; E = !B  &   D ; D = !c  &  !C ; C =  b  &   A ; B = !a  &  !b ; A =  a  &  !c
06	0e	sat	4	0.03	F0 =  D ; F1 =  C ; D = !A  &   C ; C = !c  &  !B ; B = !a  &  !b ; A =  a  &   b
06	12	sat	6	0.16	F0 =  F ; F1 =  E ; F = !c  &   D ; E = !b  &   D ; D = !B  &  !C ; C = !a  &   A ; B =  a  &  !A ; A = !b  &  !c
06	16	sat	6	0.09	F0 =  E ; F1 = !F ; F = !B  &  !E ; E = !C  &   D ; D = !c  &  !A ; C =  a  &   b ; B =  c  &   A ; A = !a  &  !b
06	18	sat	6	0.09	F0 =  D ; F1 =  F ; F = !C  &  !E ; E =  c  &  !A ; D = !A  &   C ; C = !c  &  !B ; B =  a  &   b ; A = !a  &  !b
06	1a	sat	7	0.20	F0 =  E ; F1 = !G ; G = !D  &  !F ; F =  c  &   B ; E = !B  &   C ; D =  a  &  !c ; C = !c  &  !A ; B = !a  &  !b ; A =  a  &   b
06	1e	sat	6	0.08	F0 =  F ; F1 = !D ; F =  B  &  !E ; E =  a  &   b ; D = !B  &  !C ; C =  c  &   A ; B = !c  &  !A ; A = !a  &  !b
06	22	sat	4	0.03	F0 =  D ; F1 =  A ; D = !c  &  !C ; C = !A  &  !B ; B = !a  &   b ; A =  a  &  !b
06	24	sat	7	0.15	F0 =  G ; F1 =  E ; G = !c  &  !F ; F = !A  &  !E ; E = !C  &  !D ; D = !b  &  !c ; C = !A  &  !B ; B = !a  &  !c ; A =  a  &  !b
06	26	sat	5	0.05	F0 =  D ; F1 = !E ; E = !A  &  !D ; D = !c  &  !C ; C = !A  &  !B ; B = !a  &   b ; A =  a  &  !b
06	28	sat	6	0.17	F0 =  E ; F1 =  F ; F =  a  &  !D ; E = !c  &   D ; D = !B  &  !C ; C = !b  &  !A ; B =  b  &   A ; A =  a  &  !c
06	2a	sat	6	0.09	F0 = !E ; F1 =  F ; F =  a  &  !C ; E = !B  &  !D ; D = !c  &   C ; C =  b  &  !A ; B = !b  &   A ; A =  a  &  !c
06	2c	sat	7	0.22	F0 = !E ; F1 = !G ; G = !B  &  !F ; F =  A  &  !D ; E = !C  &  !D ; D = !c  &   A ; C = !a  &   B ; B =  b  &  !c ; A =  a  &  !b
06	2e	sat	6	0.08	F0 = !E ; F1 = !F ; F = !A  &  !B ; E = !C  &  !D ; D = !a  &   B ; C = !c  &   A ; B =  b  &  !c ; A =  a  &  !b
06	30	sat	5	0.06	F0 =  E ; F1 =  B ; E = !C  &   D ; D = !c  &  !A ; C =  a  &   b ; B = !b  &   c ; A = !a  &  !b
06	32	sat	5	0.05	F0 = !E ; F1 =  B ; E = !C  &  !D ; D =  b  &   A ; C = !c  &   B ; B = !b  &  !A ; A = !a  &  !c
06	34	sat	7	0.20	F0 =  G ; F1 =  E ; G = !c  &   F ; F = !A  &  !C ; E = !C  &  !D ; D = !b  &  !c ; C =  b  &  !B ; B = !a  &  !c ; A = !a  &  !b
06	36	sat	5	0.05	F0 =  E ; F1 =  D ; E = !c  &   D ; D = !B  &  !C ; C = !b  &   A ; B =  b  &  !A ; A = !a  &  !c
06	38	sat	6	0.09	F0 =  D ; F1 =  F ; F = !C  &  !E ; E =  b  &   c ; D = !A  &   C ; C = !c  &  !B ; B =  a  &   b ; A = !a  &  !b
06	3a	sat	7	0.22	F0 =  F ; F1 = !G ; G = !A  &  !B ; F = !D  &  !E ; E =  a  &   C ; D = !A  &  !C ; C =  b  &  !c ; B = !b  &   c ; A =  a  &  !c
06	3c	sat	7	0.20	F0 =  E ; F1 =  G ; G = !C  &  !F ; F =  b  &   c ; E =  B  &  !D ; D =  a  &  !C ; C = !b  &  !c ; B = !c  &  !A ; A = !a  &  !b
06	60	sat	5	0.05	F0 =  D ; F1 =  E ; E =  C  &  !D ; D = !c  &   C ; C = !A  &  !B ; B = !a  &  !b ; A =  a  &   b
06	62	sat	6	0.08	F0 =  E ; F1 = !F ; F = !A  &  !D ; E = !C  &  !D ; D =  c  &  !C ; C = !A  &  !B ; B = !a  &   b ; A =  a  &  !b
06	66	sat	4	0.03	F0 =  D ; F1 =  C ; D = !c  &   C ; C = !A  &  !B ; B =  a  &   b ; A = !a  &  !b
